ATTRIBUTE,SYSTEM_NAME,SUBSYSTEM_NAME,CLASS_NAME,SUBCLASS_NAME,SPLIT_CLASS_NAME,SPLIT_SUBCLASS_NAME,WATER_REGIME_NAME,WATER_REGIME_SUBGROUP,FIRST_MODIFIER_NAME,FIRST_MODIFIER_GROUP,FIRST_MODIFIER_SUBGROUP,SECOND_MODIFIER_NAME,SECOND_MODIFIER_GROUP,SECOND_MODIFIER_SUBGROUP
E1AB/UBL,Estuarine,Subtidal,Aquatic Bed,,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,,,,,,
E1AB/UBLx,Estuarine,Subtidal,Aquatic Bed,,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1AB1L,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,,,,,,
E1AB1L6,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1AB1Lh,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E1AB1Lx,Estuarine,Subtidal,Aquatic Bed,Algal,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1AB3/RFL,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,Reef,,Subtidal,Saltwater Tidal,,,,,,
E1AB3/UB2L,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,Unconsolidated Bottom,Sand,Subtidal,Saltwater Tidal,,,,,,
E1AB3/UBL,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,,,,,,
E1AB3L,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,,,,,,
E1AB3L5,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
E1AB3L6,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1AB3Lx,Estuarine,Subtidal,Aquatic Bed,Rooted Vascular,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1AB4/UBL,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,Unconsolidated Bottom,,Subtidal,Saltwater Tidal,,,,,,
E1AB4L,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,,,,,,
E1AB4L4,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,Polyhaline,Water Chemistry,Coastal Halinity,,,
E1AB4L5,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
E1AB4L6,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1AB4Lx,Estuarine,Subtidal,Aquatic Bed,Floating Vascular,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1ABL,Estuarine,Subtidal,Aquatic Bed,,,,Subtidal,Saltwater Tidal,,,,,,
E1ABL4,Estuarine,Subtidal,Aquatic Bed,,,,Subtidal,Saltwater Tidal,Polyhaline,Water Chemistry,Coastal Halinity,,,
E1ABL5,Estuarine,Subtidal,Aquatic Bed,,,,Subtidal,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
E1ABL6,Estuarine,Subtidal,Aquatic Bed,,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1ABLh,Estuarine,Subtidal,Aquatic Bed,,,,Subtidal,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E1ABLx,Estuarine,Subtidal,Aquatic Bed,,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1RB2L,Estuarine,Subtidal,Rock Bottom,Rubble,,,Subtidal,Saltwater Tidal,,,,,,
E1RB2L6,Estuarine,Subtidal,Rock Bottom,Rubble,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1RBL,Estuarine,Subtidal,Rock Bottom,,,,Subtidal,Saltwater Tidal,,,,,,
E1RF/AB3L,Estuarine,Subtidal,Reef,,Aquatic Bed,Rooted Vascular,Subtidal,Saltwater Tidal,,,,,,
E1RF2L,Estuarine,Subtidal,Reef,Mollusk,,,Subtidal,Saltwater Tidal,,,,,,
E1RFL,Estuarine,Subtidal,Reef,,,,Subtidal,Saltwater Tidal,,,,,,
E1UB/AB1L,Estuarine,Subtidal,Unconsolidated Bottom,,Aquatic Bed,Algal,Subtidal,Saltwater Tidal,,,,,,
E1UB/AB3L,Estuarine,Subtidal,Unconsolidated Bottom,,Aquatic Bed,Rooted Vascular,Subtidal,Saltwater Tidal,,,,,,
E1UB/ABL,Estuarine,Subtidal,Unconsolidated Bottom,,Aquatic Bed,,Subtidal,Saltwater Tidal,,,,,,
E1UB/ABLx,Estuarine,Subtidal,Unconsolidated Bottom,,Aquatic Bed,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1UB1L,Estuarine,Subtidal,Unconsolidated Bottom,Cobble-Gravel,,,Subtidal,Saltwater Tidal,,,,,,
E1UB2L,Estuarine,Subtidal,Unconsolidated Bottom,Sand,,,Subtidal,Saltwater Tidal,,,,,,
E1UB2Lx,Estuarine,Subtidal,Unconsolidated Bottom,Sand,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1UB3L,Estuarine,Subtidal,Unconsolidated Bottom,Mud,,,Subtidal,Saltwater Tidal,,,,,,
E1UB3Lx,Estuarine,Subtidal,Unconsolidated Bottom,Mud,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1UB4L,Estuarine,Subtidal,Unconsolidated Bottom,Organic,,,Subtidal,Saltwater Tidal,,,,,,
E1UB4L6,Estuarine,Subtidal,Unconsolidated Bottom,Organic,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1UB4Lh,Estuarine,Subtidal,Unconsolidated Bottom,Organic,,,Subtidal,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E1UB4Lx,Estuarine,Subtidal,Unconsolidated Bottom,Organic,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1UB4Lx6,Estuarine,Subtidal,Unconsolidated Bottom,Organic,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E1UBL,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,,,,,,
E1UBL3,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Mixohaline/Mixosaline (Brackish),Water Chemistry,Coastal Halinity/Inland Salinity,,,
E1UBL4,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Polyhaline,Water Chemistry,Coastal Halinity,,,
E1UBL5,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
E1UBL6,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E1UBLh,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E1UBLh6,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Diked/Impounded,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E1UBLr,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Artificial Substrate,Special Modifier,,,,
E1UBLx,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,,,
E1UBLx5,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,Mesohaline,Water Chemistry,Coastal Halinity
E1UBLx6,Estuarine,Subtidal,Unconsolidated Bottom,,,,Subtidal,Saltwater Tidal,Excavated,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2AB/RFM,Estuarine,Intertidal,Aquatic Bed,,Reef,,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB/RSN,Estuarine,Intertidal,Aquatic Bed,,Rocky Shore,,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB/US2M,Estuarine,Intertidal,Aquatic Bed,,Unconsolidated Shore,Sand,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB/US2N,Estuarine,Intertidal,Aquatic Bed,,Unconsolidated Shore,Sand,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB/US3M,Estuarine,Intertidal,Aquatic Bed,,Unconsolidated Shore,Mud,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB/US3N,Estuarine,Intertidal,Aquatic Bed,,Unconsolidated Shore,Mud,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB/USM,Estuarine,Intertidal,Aquatic Bed,,Unconsolidated Shore,,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB/USN,Estuarine,Intertidal,Aquatic Bed,,Unconsolidated Shore,,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB/USNh,Estuarine,Intertidal,Aquatic Bed,,Unconsolidated Shore,,Regularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2AB1/EM1N,Estuarine,Intertidal,Aquatic Bed,Algal,Emergent,Persistent,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1/RS1N,Estuarine,Intertidal,Aquatic Bed,Algal,Rocky Shore,Bedrock,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1/RSN,Estuarine,Intertidal,Aquatic Bed,Algal,Rocky Shore,,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1/US1N,Estuarine,Intertidal,Aquatic Bed,Algal,Unconsolidated Shore,Cobble-Gravel,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1/US2M,Estuarine,Intertidal,Aquatic Bed,Algal,Unconsolidated Shore,Sand,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB1/US2N,Estuarine,Intertidal,Aquatic Bed,Algal,Unconsolidated Shore,Sand,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1/US3N,Estuarine,Intertidal,Aquatic Bed,Algal,Unconsolidated Shore,Mud,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1/USN,Estuarine,Intertidal,Aquatic Bed,Algal,Unconsolidated Shore,,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1M,Estuarine,Intertidal,Aquatic Bed,Algal,,,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB1Mx,Estuarine,Intertidal,Aquatic Bed,Algal,,,Irregularly Exposed,Saltwater Tidal,Excavated,Special Modifier,,,,
E2AB1N,Estuarine,Intertidal,Aquatic Bed,Algal,,,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB1N6,Estuarine,Intertidal,Aquatic Bed,Algal,,,Regularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2AB1Nd,Estuarine,Intertidal,Aquatic Bed,Algal,,,Regularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2AB1Nh6,Estuarine,Intertidal,Aquatic Bed,Algal,,,Regularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2AB1Ns,Estuarine,Intertidal,Aquatic Bed,Algal,,,Regularly Flooded,Saltwater Tidal,Spoil,Special Modifier,,,,
E2AB1Nx,Estuarine,Intertidal,Aquatic Bed,Algal,,,Regularly Flooded,Saltwater Tidal,Excavated,Special Modifier,,,,
E2AB3/1M,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,Aquatic Bed,Algal,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB3/US2M,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,Unconsolidated Shore,Sand,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB3/USM,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,Unconsolidated Shore,,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB3M,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,,,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB3M6,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,,,Irregularly Exposed,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2AB3Mg,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,,,Irregularly Exposed,Saltwater Tidal,Organic,Soil,,,,
E2AB3Mh,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,,,Irregularly Exposed,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2AB3Ms,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,,,Irregularly Exposed,Saltwater Tidal,Spoil,Special Modifier,,,,
E2AB3Mx,Estuarine,Intertidal,Aquatic Bed,Rooted Vascular,,,Irregularly Exposed,Saltwater Tidal,Excavated,Special Modifier,,,,
E2AB4M,Estuarine,Intertidal,Aquatic Bed,Floating Vascular,,,Irregularly Exposed,Saltwater Tidal,,,,,,
E2AB4M5,Estuarine,Intertidal,Aquatic Bed,Floating Vascular,,,Irregularly Exposed,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
E2AB4Mx,Estuarine,Intertidal,Aquatic Bed,Floating Vascular,,,Irregularly Exposed,Saltwater Tidal,Excavated,Special Modifier,,,,
E2AB4N,Estuarine,Intertidal,Aquatic Bed,Floating Vascular,,,Regularly Flooded,Saltwater Tidal,,,,,,
E2AB4Nx,Estuarine,Intertidal,Aquatic Bed,Floating Vascular,,,Regularly Flooded,Saltwater Tidal,Excavated,Special Modifier,,,,
E2ABM,Estuarine,Intertidal,Aquatic Bed,,,,Irregularly Exposed,Saltwater Tidal,,,,,,
E2ABMg,Estuarine,Intertidal,Aquatic Bed,,,,Irregularly Exposed,Saltwater Tidal,Organic,Soil,,,,
E2ABMh,Estuarine,Intertidal,Aquatic Bed,,,,Irregularly Exposed,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2ABMr,Estuarine,Intertidal,Aquatic Bed,,,,Irregularly Exposed,Saltwater Tidal,Artificial Substrate,Special Modifier,,,,
E2ABMs,Estuarine,Intertidal,Aquatic Bed,,,,Irregularly Exposed,Saltwater Tidal,Spoil,Special Modifier,,,,
E2ABMx,Estuarine,Intertidal,Aquatic Bed,,,,Irregularly Exposed,Saltwater Tidal,Excavated,Special Modifier,,,,
E2ABN,Estuarine,Intertidal,Aquatic Bed,,,,Regularly Flooded,Saltwater Tidal,,,,,,
E2ABNh,Estuarine,Intertidal,Aquatic Bed,,,,Regularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2ABNs,Estuarine,Intertidal,Aquatic Bed,,,,Regularly Flooded,Saltwater Tidal,Spoil,Special Modifier,,,,
E2EM1/5P,Estuarine,Intertidal,Emergent,Persistent,Emergent,Phragmites australis,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/5P6,Estuarine,Intertidal,Emergent,Persistent,Emergent,Phragmites australis,Irregularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/5Pd,Estuarine,Intertidal,Emergent,Persistent,Emergent,Phragmites australis,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/5Pd6,Estuarine,Intertidal,Emergent,Persistent,Emergent,Phragmites australis,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/5Ph6,Estuarine,Intertidal,Emergent,Persistent,Emergent,Phragmites australis,Irregularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/5Ps,Estuarine,Intertidal,Emergent,Persistent,Emergent,Phragmites australis,Irregularly Flooded,Saltwater Tidal,Spoil,Special Modifier,,,,
E2EM1/AB1N,Estuarine,Intertidal,Emergent,Persistent,Aquatic Bed,Algal,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/ABN,Estuarine,Intertidal,Emergent,Persistent,Aquatic Bed,,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/ABN6,Estuarine,Intertidal,Emergent,Persistent,Aquatic Bed,,Regularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/FO1P,Estuarine,Intertidal,Emergent,Persistent,Forested,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/FO3N,Estuarine,Intertidal,Emergent,Persistent,Forested,Broad-Leaved Evergreen,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/FO3Nd,Estuarine,Intertidal,Emergent,Persistent,Forested,Broad-Leaved Evergreen,Regularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/FO3P,Estuarine,Intertidal,Emergent,Persistent,Forested,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/FO3Pd,Estuarine,Intertidal,Emergent,Persistent,Forested,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/FO4P,Estuarine,Intertidal,Emergent,Persistent,Forested,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/FO4P6,Estuarine,Intertidal,Emergent,Persistent,Forested,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/FO4Pd,Estuarine,Intertidal,Emergent,Persistent,Forested,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/FO4Pd6,Estuarine,Intertidal,Emergent,Persistent,Forested,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/FO4Ph6,Estuarine,Intertidal,Emergent,Persistent,Forested,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/FO5N,Estuarine,Intertidal,Emergent,Persistent,Forested,Dead,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/FO5P,Estuarine,Intertidal,Emergent,Persistent,Forested,Dead,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/FO5P6,Estuarine,Intertidal,Emergent,Persistent,Forested,Dead,Irregularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/FO5Pd6,Estuarine,Intertidal,Emergent,Persistent,Forested,Dead,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/RSN,Estuarine,Intertidal,Emergent,Persistent,Rocky Shore,,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS1P,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS1P6,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/SS1Pd,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/SS1Pd6,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/SS1Ph,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2EM1/SS1Ph6,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/SS1Ps,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,Spoil,Special Modifier,,,,
E2EM1/SS2P,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Needle-Leaved Deciduous,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS3N,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS3Nd,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Regularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/SS3Nx,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Regularly Flooded,Saltwater Tidal,Excavated,Special Modifier,,,,
E2EM1/SS3P,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS3P6,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/SS3Pd,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/SS3Pd6,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1/SS3Ph,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2EM1/SS3Ps,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Broad-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Spoil,Special Modifier,,,,
E2EM1/SS4P,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS4P6,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/SS4Pd,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/SS4Ph,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Needle-Leaved Evergreen,Irregularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2EM1/SS5N,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Dead,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS5P,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Dead,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/SS7Ps,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,Evergreen,Irregularly Flooded,Saltwater Tidal,Spoil,Special Modifier,,,,
E2EM1/SSP,Estuarine,Intertidal,Emergent,Persistent,Scrub-Shrub,,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/US2N,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,Sand,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/US2Nx,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,Sand,Regularly Flooded,Saltwater Tidal,Excavated,Special Modifier,,,,
E2EM1/US2P,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,Sand,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/US2Pd,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,Sand,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/US3N,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,Mud,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/US3P,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,Mud,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/USN,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1/USN6,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Regularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/USNd,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Regularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/USNh,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Regularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2EM1/USP,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Irregularly Flooded,Saltwater Tidal,,,,,,
E2EM1/USP6,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Irregularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1/USPd,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Irregularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1/USPh,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Irregularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2EM1/USPs,Estuarine,Intertidal,Emergent,Persistent,Unconsolidated Shore,,Irregularly Flooded,Saltwater Tidal,Spoil,Special Modifier,,,,
E2EM1N,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,,,,,,
E2EM1N4,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,Polyhaline,Water Chemistry,Coastal Halinity,,,
E2EM1N5,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,Mesohaline,Water Chemistry,Coastal Halinity,,,
E2EM1N6,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,Oligohaline,Water Chemistry,Coastal Halinity,,,
E2EM1Nd,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,,,
E2EM1Nd6,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,Partially Drained/Ditched,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
E2EM1Nh,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,,,
E2EM1Nh6,Estuarine,Intertidal,Emergent,Persistent,,,Regularly Flooded,Saltwater Tidal,Diked/Impounded,Special Modifier,,Oligohaline,Water Chemistry,Coastal Halinity
